ortho_id,label,split,good_probability,inlier_ratio_satellite,median_error_satellite,num_matches_satellite,num_inliers_satellite,good_probability_satellite,inlier_ratio_streets,median_error_streets,num_matches_streets,num_inliers_streets,good_probability_streets,inlier_ratio_min,median_error_max,num_matches_min
70,1,train,0.0,0.0,inf,640,0,0.0,0.0,inf,892,0,0.0,0.0,inf,640
148,1,train,1.0,1.0,0.25185073056119656,602,602,1.0,1.0,0.022016379557825365,775,775,1.0,1.0,0.25185073056119656,602
1638,1,train,0.5,1.0,0.2094955607333218,1093,1093,1.0,0.0,inf,641,0,0.0,0.0,inf,641
1721,1,train,0.5,1.0,0.07366936947323817,551,551,1.0,0.0,inf,761,0,0.0,0.0,inf,551
1768,1,train,1.0,0.9936305732484076,0.2565962833701775,157,156,1.0,1.0,0.12916796172820189,142,142,1.0,0.9936305732484076,0.2565962833701775,142
1789,1,train,0.0,0.0,inf,322,0,0.0,0.0,inf,296,0,0.0,0.0,inf,296
1889,1,train,0.5,1.0,0.2905354009288413,553,553,1.0,0.0,inf,490,0,0.0,0.0,inf,490
203,1,test,0.5,1.0,0.29387956777437935,403,403,1.0,0.0,inf,1656,0,0.0,0.0,inf,403
2126,1,train,0.0,0.0,inf,942,0,0.0,0.0,inf,1049,0,0.0,0.0,inf,942
2261,1,train,0.0,0.0,inf,623,0,0.0,0.0,inf,681,0,0.0,0.0,inf,623
2483,0,train,0.0,0.0,inf,230,0,0.0,0.0,inf,189,0,0.0,0.0,inf,189
2496,0,train,0.5,0.0,inf,171,0,0.0,1.0,0.22635809698094614,253,253,1.0,0.0,inf,171
282,0,train,0.5,0.0,inf,1029,0,0.0,1.0,0.24786572877977409,620,620,1.0,0.0,inf,620
3214,1,train,0.5,1.0,0.09872967057986858,767,767,1.0,0.0,inf,970,0,0.0,0.0,inf,767
3729,1,train,0.5,1.0,0.2280840389601809,815,815,1.0,0.0,inf,756,0,0.0,0.0,inf,756
3765,1,train,0.0,0.0,inf,972,0,0.0,0.0,inf,1231,0,0.0,0.0,inf,972
3797,1,train,0.0,0.0,inf,542,0,0.0,0.0,inf,491,0,0.0,0.0,inf,491
3851,1,train,1.0,1.0,0.374097651717879,824,824,1.0,1.0,0.18630025462333988,777,777,1.0,1.0,0.374097651717879,777
4035,0,train,0.5,1.0,0.2277249332713957,544,544,1.0,0.0,inf,666,0,0.0,0.0,inf,544
4530,1,test,0.5,1.0,0.3341698817926257,1585,1585,1.0,0.0,inf,203,0,0.0,0.0,inf,203
4784,1,train,0.5,1.0,0.24966199091789648,606,606,1.0,0.0,inf,409,0,0.0,0.0,inf,409
4838,0,train,0.0,0.0,inf,327,0,0.0,0.0,inf,109,0,0.0,0.0,inf,109
4892,0,train,0.0,0.0,inf,442,0,0.0,0.0,inf,329,0,0.0,0.0,inf,329
4985,1,train,0.0,0.0,inf,394,0,0.0,0.0,inf,414,0,0.0,0.0,inf,394
5088,0,test,0.0,0.0,inf,669,0,0.0,0.0,inf,590,0,0.0,0.0,inf,590
5092,0,train,0.0,0.0,inf,681,0,0.0,0.0,inf,603,0,0.0,0.0,inf,603
5243,1,train,0.0,0.0,inf,716,0,0.0,0.0,inf,829,0,0.0,0.0,inf,716
5303,0,train,0.5,1.0,0.09769924551881853,754,754,1.0,0.0,inf,533,0,0.0,0.0,inf,533
5496,1,train,0.5,1.0,0.18656894036978475,1049,1049,1.0,0.0,inf,797,0,0.0,0.0,inf,797
5572,1,train,0.5,1.0,0.17587378604195875,837,837,1.0,0.0,inf,659,0,0.0,0.0,inf,659
559,1,train,0.5,1.0,0.18416507412388328,911,911,1.0,0.0,inf,1076,0,0.0,0.0,inf,911
5778,1,train,0.0,0.0,inf,556,0,0.0,0.0,inf,521,0,0.0,0.0,inf,521
5782,1,test,0.0,0.0,inf,475,0,0.0,0.0,inf,447,0,0.0,0.0,inf,447
5929,1,train,1.0,0.9983221476510067,0.4138283768898577,596,595,1.0,1.0,0.20934979904772594,321,321,1.0,0.9983221476510067,0.4138283768898577,321
608,1,train,1.0,1.0,0.14503907616102796,1019,1019,1.0,1.0,0.08689869250376021,1400,1400,1.0,1.0,0.14503907616102796,1019
621,1,train,0.5,1.0,0.10712968715712815,477,477,1.0,0.0,inf,904,0,0.0,0.0,inf,477
6384,0,test,0.0,0.0,inf,499,0,0.0,0.0,inf,572,0,0.0,0.0,inf,499
6386,0,train,0.5,1.0,0.11281340794420015,709,709,1.0,0.0,inf,489,0,0.0,0.0,inf,489
6390,0,train,0.0,0.0,inf,1352,0,0.0,0.0,inf,617,0,0.0,0.0,inf,617
6393,0,train,0.5,1.0,0.2928590747341467,1288,1288,1.0,0.0,inf,139,0,0.0,0.0,inf,139
6395,0,train,0.0,0.0,inf,624,0,0.0,0.0,inf,178,0,0.0,0.0,inf,178
6434,1,train,1.0,1.0,0.1912421461073615,591,591,1.0,1.0,0.2056405992715196,903,903,1.0,1.0,0.2056405992715196,591
6458,1,train,0.0,0.0,inf,745,0,0.0,0.0,inf,1364,0,0.0,0.0,inf,745
6480,1,test,0.5,1.0,0.28999064477765363,231,231,1.0,0.0,inf,608,0,0.0,0.0,inf,231
6602,0,train,0.5,1.0,0.3115612816869735,591,591,1.0,0.0,inf,338,0,0.0,0.0,inf,338
6731,1,train,0.0,0.0,inf,993,0,0.0,0.0,inf,908,0,0.0,0.0,inf,908
6779,0,train,0.0,0.0,inf,351,0,0.0,0.0,inf,271,0,0.0,0.0,inf,271
6924,0,train,1.0,1.0,0.04191400021391604,697,697,1.0,0.9987893462469734,0.3552484598832063,826,825,1.0,0.9987893462469734,0.3552484598832063,697
6929,0,test,0.0,0.0,inf,638,0,0.0,0.0,inf,605,0,0.0,0.0,inf,605
6936,0,train,0.0,0.0,inf,279,0,0.0,0.0,inf,270,0,0.0,0.0,inf,270
7236,0,train,0.0,0.0,inf,88,0,0.0,0.0,inf,98,0,0.0,0.0,inf,88
7326,1,train,1.0,1.0,0.23656866786659222,1377,1377,1.0,1.0,0.2641282676603349,1396,1396,1.0,1.0,0.2641282676603349,1377
7374,1,train,0.5,1.0,0.06815706272918831,427,427,1.0,0.0,inf,270,0,0.0,0.0,inf,270
7479,1,train,1.0,1.0,0.2530126944740264,1111,1111,1.0,1.0,0.23202888870929583,1534,1534,1.0,1.0,0.2530126944740264,1111
7676,1,test,1.0,1.0,0.3162216304544305,578,578,1.0,1.0,0.13852246052816464,390,390,1.0,1.0,0.3162216304544305,390
7844,1,test,0.5,1.0,0.25321236254884755,753,753,1.0,0.0,inf,1466,0,0.0,0.0,inf,753
7893,1,train,0.0,0.0,inf,1242,0,0.0,0.0,inf,1145,0,0.0,0.0,inf,1145
1335,1,train,0.5,1.0,0.17619631165301497,449,449,1.0,0.0,inf,1639,0,0.0,0.0,inf,449
1336,1,train,0.5,1.0,0.11618362996804875,358,358,1.0,0.0,inf,851,0,0.0,0.0,inf,358
1899,1,train,0.5,1.0,0.21251228826192078,677,677,1.0,0.0,inf,684,0,0.0,0.0,inf,677
